ENSEMBL	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7
ENSMUSG00000081127	0	0	0	0	0	0	0
ENSMUSG00000081128	0	0	0	0	0	0	0
ENSMUSG00000081129	0	0	0	0	0	0	0
ENSMUSG00000081130	0	0	0	0	0	0	0
ENSMUSG00000081131	0	0	0	0	0	0	0
ENSMUSG00000081132	0	0	0	0	0	0	0
ENSMUSG00000081133	0	0	0	0	0	0	0
ENSMUSG00000081134	0	0	0	0	0	0	0
ENSMUSG00000081135	0	0	0	0	0	0	0
ENSMUSG00000081136	0	0	1	0	0	0	0
ENSMUSG00000081137	7	19	8	9	16	22	24
ENSMUSG00000081138	0	0	0	0	0	0	0
ENSMUSG00000081139	0	0	1	0	1	1	1
ENSMUSG00000081141	0	0	0	0	0	0	0
ENSMUSG00000081142	10	5	2	6	9	5	4
ENSMUSG00000081143	16	16	12	12	7	11	23
ENSMUSG00000081144	0	0	0	0	0	0	0
ENSMUSG00000081145	0	0	0	0	0	0	0
ENSMUSG00000081146	0	0	0	0	0	0	0
ENSMUSG00000081147	0	0	0	0	0	0	0
ENSMUSG00000081148	0	0	0	0	0	0	0
ENSMUSG00000081150	0	0	0	0	0	0	0
ENSMUSG00000081151	0	0	0	0	0	0	0
ENSMUSG00000081152	0	6	2	1	1	0	1
ENSMUSG00000081153	0	0	0	2	1	0	0
ENSMUSG00000081154	0	0	0	0	0	0	0
ENSMUSG00000081155	0	0	0	0	0	0	0
ENSMUSG00000081156	0	0	0	3	0	1	0
ENSMUSG00000081157	1	0	9	1	2	0	1
ENSMUSG00000081158	1	1	0	0	1	0	1
ENSMUSG00000081159	0	0	0	0	0	0	0
ENSMUSG00000081160	0	0	0	0	0	0	0
ENSMUSG00000081161	2	0	1	0	0	1	0
ENSMUSG00000081162	0	0	0	0	0	0	0
ENSMUSG00000081163	0	0	0	0	0	0	0
ENSMUSG00000081164	0	0	0	0	0	0	1
ENSMUSG00000081165	0	0	0	0	0	2	0
ENSMUSG00000081166	0	0	0	0	0	0	0
ENSMUSG00000081167	1	0	0	1	0	1	0
ENSMUSG00000081168	0	0	0	0	0	0	0
ENSMUSG00000081169	0	0	0	0	0	0	0
ENSMUSG00000081170	0	0	1	1	0	0	0
ENSMUSG00000081171	0	0	0	0	0	0	0
ENSMUSG00000081172	0	0	0	0	0	0	0
ENSMUSG00000081173	0	0	0	0	0	0	0
ENSMUSG00000081174	0	0	0	0	0	0	0
ENSMUSG00000081175	0	0	0	0	0	0	0
ENSMUSG00000081176	0	0	5	0	0	1	0
ENSMUSG00000081177	0	0	0	0	0	0	0
ENSMUSG00000081179	0	0	2	1	2	0	1
ENSMUSG00000081180	0	0	0	0	0	0	0
ENSMUSG00000081181	0	0	0	0	0	0	0
ENSMUSG00000081182	0	0	0	0	0	0	0
ENSMUSG00000081183	0	0	0	0	0	0	0
ENSMUSG00000081184	0	0	0	0	0	0	0
ENSMUSG00000081185	0	0	0	0	0	0	0
ENSMUSG00000081186	0	0	0	0	0	0	0
ENSMUSG00000081187	1	2	2	3	1	0	2
ENSMUSG00000081188	0	0	0	0	0	0	0
ENSMUSG00000081189	3	0	11	3	4	0	6
ENSMUSG00000081191	0	0	0	0	0	0	0
ENSMUSG00000081194	454	350	465	505	578	468	451
ENSMUSG00000081195	0	0	0	0	0	0	0
ENSMUSG00000081196	0	0	0	0	0	0	0
ENSMUSG00000081197	0	0	0	0	0	0	0
ENSMUSG00000081199	0	0	0	0	0	0	0
ENSMUSG00000081200	0	0	0	0	0	0	0
ENSMUSG00000081201	0	0	0	0	0	0	0
ENSMUSG00000081202	0	0	0	0	0	0	0
ENSMUSG00000081205	0	0	0	0	0	0	0
ENSMUSG00000081206	0	0	0	0	0	0	0
ENSMUSG00000081208	4	5	4	5	7	8	9
ENSMUSG00000081209	0	0	0	0	0	0	5
ENSMUSG00000081210	3	0	0	3	0	0	0
ENSMUSG00000081211	0	0	0	0	0	0	1
ENSMUSG00000081212	0	0	0	0	0	0	0
ENSMUSG00000081215	0	0	0	0	0	0	0
ENSMUSG00000081216	0	0	0	0	0	0	0
ENSMUSG00000081217	0	0	0	0	0	0	0
ENSMUSG00000081218	0	0	0	0	0	0	0
ENSMUSG00000081219	4	3	10	11	9	10	9
ENSMUSG00000081220	3	0	4	2	3	0	3
ENSMUSG00000081221	44	43	18	41	31	20	94
ENSMUSG00000081222	0	0	0	0	0	0	0
ENSMUSG00000081223	2	1	1	0	2	4	1
ENSMUSG00000081224	0	0	0	0	0	0	0
ENSMUSG00000081225	0	0	0	0	0	0	0
ENSMUSG00000081226	0	1	0	0	0	0	0
ENSMUSG00000081227	0	0	0	0	0	0	0
ENSMUSG00000081228	1	0	0	0	0	0	0
ENSMUSG00000081229	0	0	0	0	0	0	0
ENSMUSG00000081230	0	0	0	0	1	0	0
ENSMUSG00000081231	0	0	0	0	0	0	0
ENSMUSG00000081232	1	0	0	0	0	0	0
ENSMUSG00000081233	0	0	0	0	0	0	0
ENSMUSG00000081234	7	12	14	14	9	14	19
ENSMUSG00000081235	0	0	0	0	0	0	0
ENSMUSG00000081236	0	0	0	0	0	0	1
ENSMUSG00000081237	0	0	0	0	0	0	0
ENSMUSG00000081238	0	0	0	0	0	0	0
ENSMUSG00000081239	0	0	0	0	0	0	0
ENSMUSG00000081240	0	0	0	0	0	0	0
ENSMUSG00000081242	0	0	0	0	0	0	0
ENSMUSG00000081243	0	0	0	0	0	0	0
ENSMUSG00000081244	0	0	0	2	0	0	0
ENSMUSG00000081245	0	0	0	0	0	0	0
ENSMUSG00000081248	0	0	0	0	0	0	0
ENSMUSG00000081249	22	16	16	15	18	19	17
ENSMUSG00000081250	0	0	0	1	0	0	0
ENSMUSG00000081251	0	0	1	0	0	0	0
ENSMUSG00000081252	0	0	0	0	0	0	0
ENSMUSG00000081253	0	0	0	0	0	0	0
ENSMUSG00000081254	0	13	0	7	10	11	8
ENSMUSG00000081255	9	6	5	3	10	6	4
ENSMUSG00000081256	0	0	0	0	0	0	0
ENSMUSG00000081257	0	0	0	0	0	0	0
ENSMUSG00000081258	0	0	0	0	0	0	0
ENSMUSG00000081259	0	0	0	0	0	0	0
ENSMUSG00000081260	0	0	0	0	0	0	0
ENSMUSG00000081261	0	0	0	0	0	0	0
ENSMUSG00000081262	0	0	0	0	1	0	0
ENSMUSG00000081263	0	0	0	0	0	0	0
ENSMUSG00000081264	0	0	0	0	0	0	0
ENSMUSG00000081265	0	0	0	0	0	0	0
ENSMUSG00000081268	0	0	0	0	0	0	0
ENSMUSG00000081269	0	1	1	2	2	4	1
ENSMUSG00000081270	0	0	0	0	0	0	0
ENSMUSG00000081271	0	0	0	0	0	0	0
ENSMUSG00000081272	3	7	0	0	0	0	0
ENSMUSG00000081273	0	0	0	0	0	0	0
ENSMUSG00000081274	4	3	5	1	0	4	10
ENSMUSG00000081275	0	0	0	0	0	0	0
ENSMUSG00000081276	0	0	0	0	0	0	0
ENSMUSG00000081277	0	1	0	0	0	0	0
ENSMUSG00000081278	0	0	1	0	0	0	0
ENSMUSG00000081279	0	0	0	0	0	0	0
ENSMUSG00000081280	0	0	0	0	0	0	0
ENSMUSG00000081281	0	0	0	0	0	0	0
ENSMUSG00000081282	0	0	0	0	0	0	0
ENSMUSG00000081283	0	0	0	0	0	0	0
ENSMUSG00000081284	0	0	0	0	0	0	0
ENSMUSG00000081285	2	2	1	1	0	2	0
ENSMUSG00000081286	0	0	0	0	0	0	0
ENSMUSG00000081287	0	0	0	0	0	0	0
ENSMUSG00000081288	0	0	0	0	0	0	0
ENSMUSG00000081289	0	0	0	0	0	0	0
ENSMUSG00000081290	0	0	0	0	0	0	0
ENSMUSG00000081292	0	0	0	0	0	0	0
ENSMUSG00000081293	0	0	0	0	0	0	0
ENSMUSG00000081295	0	0	0	0	0	0	0
ENSMUSG00000081296	0	0	0	0	0	0	0
ENSMUSG00000081297	0	0	0	0	0	0	0
ENSMUSG00000081298	0	0	0	0	0	0	0
ENSMUSG00000081299	0	0	0	0	0	0	0
ENSMUSG00000081300	0	0	0	0	0	0	0
ENSMUSG00000081301	0	2	0	0	0	0	0
ENSMUSG00000081302	0	0	0	0	0	0	0
ENSMUSG00000081303	3	2	2	0	0	1	2
ENSMUSG00000081304	0	0	1	0	0	0	0
ENSMUSG00000081305	6	13	0	13	15	18	10
ENSMUSG00000081306	0	0	0	0	0	0	0
ENSMUSG00000081307	0	0	0	0	0	0	0
ENSMUSG00000081308	0	0	0	0	0	0	0
ENSMUSG00000081309	0	14	0	11	0	14	9
ENSMUSG00000081310	0	0	0	0	0	0	0
ENSMUSG00000081312	0	0	0	0	0	0	0
ENSMUSG00000081313	0	0	0	0	0	0	0
ENSMUSG00000081314	1	1	0	0	0	0	0
ENSMUSG00000081315	0	0	0	0	0	0	0
ENSMUSG00000081316	0	0	0	0	0	0	0
ENSMUSG00000081317	0	0	0	0	1	0	1
ENSMUSG00000081318	0	0	0	0	0	0	0
ENSMUSG00000081319	0	0	0	0	0	0	4
ENSMUSG00000081320	0	0	0	0	0	1	0
ENSMUSG00000081321	0	0	0	0	0	0	0
ENSMUSG00000081323	0	0	0	0	0	0	0
ENSMUSG00000081324	0	0	0	0	0	0	0
ENSMUSG00000081325	0	0	0	0	2	0	0
ENSMUSG00000081326	0	0	0	0	0	0	0
ENSMUSG00000081327	0	0	0	0	0	0	0
ENSMUSG00000081329	1	0	0	0	0	0	1
ENSMUSG00000081330	0	0	0	0	0	0	0
ENSMUSG00000081331	0	0	0	0	0	0	0
ENSMUSG00000081332	0	0	0	0	0	0	0
ENSMUSG00000081333	0	0	0	0	0	0	0
ENSMUSG00000081334	0	0	0	0	0	0	0
ENSMUSG00000081335	0	0	0	0	0	0	0
ENSMUSG00000081336	0	0	0	0	0	0	0
ENSMUSG00000081339	0	0	0	0	0	0	2
ENSMUSG00000081340	2	0	0	1	1	0	0
ENSMUSG00000081341	0	0	0	0	0	0	0
ENSMUSG00000081342	0	0	0	0	0	0	0
ENSMUSG00000081343	0	0	0	0	0	0	0
ENSMUSG00000081344	239	130	125	181	179	177	138
ENSMUSG00000081345	0	0	0	0	0	0	0
ENSMUSG00000081346	0	0	0	0	0	0	0
ENSMUSG00000081348	0	1	1	0	0	4	1
ENSMUSG00000081349	0	0	1	0	0	0	0
ENSMUSG00000081350	0	0	0	0	0	0	0
ENSMUSG00000081352	0	0	0	0	0	0	0
ENSMUSG00000081353	0	0	0	0	0	0	0
ENSMUSG00000081354	0	0	0	0	0	0	0
ENSMUSG00000081355	0	0	0	0	0	0	0
ENSMUSG00000081357	0	0	0	0	0	0	0
ENSMUSG00000081358	0	0	0	0	0	1	0
ENSMUSG00000081359	0	0	0	0	0	0	1
ENSMUSG00000081360	0	0	0	0	0	0	0
ENSMUSG00000081361	0	0	0	0	0	0	0
ENSMUSG00000081362	0	0	0	0	0	0	0
ENSMUSG00000081363	0	0	0	0	0	0	0
ENSMUSG00000081364	0	0	0	0	0	0	0
ENSMUSG00000081365	0	0	0	0	0	0	0
ENSMUSG00000081367	0	0	0	0	0	0	0
ENSMUSG00000081369	0	0	0	0	0	0	0
ENSMUSG00000081370	0	0	0	0	0	0	0
ENSMUSG00000081372	0	1	2	0	0	3	0
ENSMUSG00000081373	0	0	0	0	0	0	0
ENSMUSG00000081374	0	0	0	0	0	2	0
ENSMUSG00000081375	0	0	0	0	0	6	0
ENSMUSG00000081376	0	0	0	0	0	0	0
ENSMUSG00000081377	0	0	0	0	0	0	0
ENSMUSG00000081378	0	1	0	0	9	2	0
ENSMUSG00000081379	0	0	0	0	0	0	0
ENSMUSG00000081381	0	0	0	0	0	0	0
ENSMUSG00000081382	0	0	0	0	1	1	2
ENSMUSG00000081383	0	0	0	0	0	0	0
ENSMUSG00000081384	0	0	0	0	0	0	0
ENSMUSG00000081386	0	0	0	0	0	0	0
ENSMUSG00000081388	0	0	0	0	0	0	0
ENSMUSG00000081389	0	1	0	0	0	0	0
ENSMUSG00000081390	0	0	0	0	0	0	0
ENSMUSG00000081391	0	0	0	0	0	0	0
ENSMUSG00000081392	0	0	0	0	0	0	0
ENSMUSG00000081394	0	0	0	1	0	0	0
ENSMUSG00000081395	0	0	0	0	0	0	0
ENSMUSG00000081396	4	1	3	7	2	9	4
ENSMUSG00000081397	0	0	0	0	0	0	0
ENSMUSG00000081398	0	0	0	0	0	0	0
ENSMUSG00000081399	0	0	0	0	0	0	0
ENSMUSG00000081400	1	0	0	3	2	0	0
ENSMUSG00000081402	0	0	0	0	0	0	1
ENSMUSG00000081404	0	0	1	0	2	0	2
ENSMUSG00000081405	0	0	0	0	0	0	0
ENSMUSG00000081406	1522	907	1411	1126	1519	933	1424
ENSMUSG00000081407	0	0	0	0	0	0	0
ENSMUSG00000081408	0	0	0	0	0	0	2
ENSMUSG00000081409	0	0	0	0	0	0	0
ENSMUSG00000081410	0	0	0	0	0	0	0
ENSMUSG00000081412	0	0	0	0	0	0	0
ENSMUSG00000081413	0	0	0	0	0	0	0
ENSMUSG00000081414	0	0	0	0	0	0	0
ENSMUSG00000081415	0	0	0	0	0	0	0
ENSMUSG00000081416	0	0	0	0	0	0	0
ENSMUSG00000081417	0	0	0	0	0	0	0
ENSMUSG00000081418	4	1	7	1	0	3	3
ENSMUSG00000081421	0	0	0	0	0	0	0
ENSMUSG00000081422	0	0	0	0	0	0	0
ENSMUSG00000081423	1	0	0	1	2	3	0
ENSMUSG00000081424	0	0	0	0	0	0	0
ENSMUSG00000081427	0	0	0	0	0	0	0
ENSMUSG00000081428	0	0	0	0	0	0	1
ENSMUSG00000081429	0	0	0	0	0	0	0
ENSMUSG00000081431	0	0	3	3	0	1	0
ENSMUSG00000081432	0	0	0	0	0	0	0
ENSMUSG00000081433	0	0	0	0	0	0	2
ENSMUSG00000081434	1	0	0	1	0	2	0
ENSMUSG00000081435	0	0	0	0	0	0	0
ENSMUSG00000081436	0	0	0	0	0	0	0
ENSMUSG00000081437	0	0	0	0	0	0	0
ENSMUSG00000081438	0	0	0	0	0	0	0
ENSMUSG00000081439	0	0	0	0	0	0	0
ENSMUSG00000081440	0	0	0	0	0	1	0
ENSMUSG00000081441	11	0	3	0	0	23	15
ENSMUSG00000081442	0	0	0	0	0	0	0
ENSMUSG00000081443	0	0	0	0	0	0	0
ENSMUSG00000081444	0	0	0	0	0	0	0
ENSMUSG00000081445	0	0	0	0	0	0	0
ENSMUSG00000081447	0	0	0	0	0	0	0
ENSMUSG00000081449	0	0	0	0	0	0	0
ENSMUSG00000081450	0	0	0	0	0	0	0
ENSMUSG00000081451	0	0	1	0	0	0	2
ENSMUSG00000081452	1	0	0	0	0	1	0
ENSMUSG00000081453	0	0	1	0	0	0	0
ENSMUSG00000081455	3	12	14	3	1	1	10
ENSMUSG00000081456	1	0	0	0	0	2	0
ENSMUSG00000081457	0	0	0	0	0	0	0
ENSMUSG00000081458	0	0	0	0	0	0	0
ENSMUSG00000081459	0	0	1	0	1	0	2
ENSMUSG00000081460	0	0	0	0	0	0	0
ENSMUSG00000081461	1	0	0	0	1	1	1
ENSMUSG00000081463	0	0	0	0	0	0	0
ENSMUSG00000081464	0	0	0	0	0	0	0
ENSMUSG00000081465	0	0	0	0	0	0	0
ENSMUSG00000081466	6	1	0	0	1	3	0
ENSMUSG00000081467	0	0	0	0	0	0	0
ENSMUSG00000081469	0	0	0	0	0	0	0
ENSMUSG00000081470	0	0	0	0	0	0	0
ENSMUSG00000081471	69	56	68	54	86	50	62
ENSMUSG00000081473	0	2	3	1	2	0	0
ENSMUSG00000081474	0	0	0	0	0	0	0
ENSMUSG00000081475	0	0	0	0	0	0	0
ENSMUSG00000081476	0	0	0	0	0	0	0
ENSMUSG00000081477	0	0	0	0	0	0	0
ENSMUSG00000081478	0	0	0	0	0	0	0
ENSMUSG00000081480	1	0	0	0	0	0	0
ENSMUSG00000081481	0	0	0	0	0	0	0
ENSMUSG00000081483	0	0	0	0	0	0	0
ENSMUSG00000081484	0	0	0	0	0	0	0
ENSMUSG00000081485	1131	638	888	921	1197	928	1042
ENSMUSG00000081486	0	0	0	0	0	0	0
ENSMUSG00000081487	3	0	1	0	1	1	0
ENSMUSG00000081488	0	0	0	0	0	0	0
ENSMUSG00000081490	3	0	0	1	1	1	0
ENSMUSG00000081491	0	1	0	3	0	0	0
ENSMUSG00000081492	1	0	3	1	0	0	3
ENSMUSG00000081494	5	5	5	6	7	11	6
ENSMUSG00000081495	0	0	0	0	0	0	0
ENSMUSG00000081496	0	0	0	0	0	0	0
ENSMUSG00000081497	0	1	1	5	2	2	0
ENSMUSG00000081498	0	0	0	0	0	0	0
ENSMUSG00000081499	0	0	0	0	0	0	0
ENSMUSG00000081500	0	0	0	0	0	0	0
ENSMUSG00000081501	0	0	0	0	0	0	0
ENSMUSG00000081502	0	0	0	0	0	0	0
ENSMUSG00000081504	1	0	0	0	0	0	0
ENSMUSG00000081505	0	0	0	0	0	0	0
ENSMUSG00000081506	0	0	0	0	0	0	0
ENSMUSG00000081507	0	0	0	0	0	0	0
ENSMUSG00000081508	0	0	0	0	0	0	0
ENSMUSG00000081510	0	0	0	0	0	0	0
ENSMUSG00000081511	0	0	0	0	2	0	0
ENSMUSG00000081513	0	0	0	0	0	0	0
ENSMUSG00000081514	0	0	0	0	0	0	0
ENSMUSG00000081515	0	0	0	0	0	0	0
ENSMUSG00000081516	0	0	0	0	0	0	0
ENSMUSG00000081517	0	0	0	0	0	0	0
ENSMUSG00000081519	32	22	22	23	24	19	19
ENSMUSG00000081520	0	1	0	1	1	0	1
ENSMUSG00000081522	0	0	0	0	0	0	0
ENSMUSG00000081523	0	0	0	0	0	0	0
ENSMUSG00000081524	0	0	2	2	1	0	0
ENSMUSG00000081525	0	0	0	0	0	0	0
ENSMUSG00000081526	0	0	0	0	0	0	0
ENSMUSG00000081528	0	0	0	0	0	0	0
ENSMUSG00000081529	0	0	0	0	0	0	0
ENSMUSG00000081530	0	0	0	0	0	0	0
ENSMUSG00000081531	0	0	0	0	0	0	0
ENSMUSG00000081532	0	0	0	0	0	0	0
ENSMUSG00000081533	0	0	0	0	0	0	0
ENSMUSG00000081534	1164	972	1403	1206	1214	985	1366
ENSMUSG00000081536	0	0	0	0	0	0	0
ENSMUSG00000081537	0	0	0	0	0	0	0
ENSMUSG00000081538	0	0	0	0	0	0	0
ENSMUSG00000081539	0	0	0	0	0	0	0
ENSMUSG00000081540	0	0	0	0	0	0	0
ENSMUSG00000081541	0	0	0	0	0	0	0
ENSMUSG00000081542	0	0	0	0	0	0	0
ENSMUSG00000081543	0	0	0	0	0	0	0
ENSMUSG00000081544	2	0	0	0	0	0	0
ENSMUSG00000081546	0	0	0	0	0	0	0
ENSMUSG00000081547	0	0	0	0	0	0	0
ENSMUSG00000081548	0	0	0	0	0	0	0
ENSMUSG00000081550	0	0	0	0	0	0	0
ENSMUSG00000081551	7	6	3	8	7	8	12
ENSMUSG00000081552	0	0	0	0	0	0	0
ENSMUSG00000081553	0	0	0	0	0	0	0
ENSMUSG00000081555	0	0	0	0	0	0	0
ENSMUSG00000081556	0	0	0	0	0	0	0
ENSMUSG00000081557	9	2	2	5	7	4	12
ENSMUSG00000081559	3	0	3	1	0	0	1
ENSMUSG00000081560	0	0	0	0	0	0	0
ENSMUSG00000081561	0	0	0	0	0	1	0
ENSMUSG00000081562	0	0	0	2	0	0	0
ENSMUSG00000081563	0	0	0	0	0	0	0
ENSMUSG00000081564	0	2	0	1	5	3	2
ENSMUSG00000081565	0	0	0	0	0	0	0
ENSMUSG00000081566	0	0	0	0	0	0	0
ENSMUSG00000081567	0	0	0	0	0	0	0
ENSMUSG00000081568	0	0	0	0	0	0	0
ENSMUSG00000081569	0	0	0	0	0	0	0
ENSMUSG00000081570	0	0	0	0	0	0	0
ENSMUSG00000081571	0	0	0	0	0	0	0
ENSMUSG00000081572	1	0	0	0	0	1	1
ENSMUSG00000081573	0	0	0	0	0	0	0
ENSMUSG00000081574	0	0	0	0	0	0	0
ENSMUSG00000081575	0	0	0	0	0	0	0
ENSMUSG00000081576	0	0	0	0	0	0	0
ENSMUSG00000081577	0	0	0	0	0	0	0
ENSMUSG00000081578	0	0	0	0	1	0	0
ENSMUSG00000081579	0	0	0	0	0	0	0
ENSMUSG00000081580	0	0	0	0	0	0	0
ENSMUSG00000081583	1	0	0	0	0	1	2
ENSMUSG00000081584	0	0	1	0	0	0	0
ENSMUSG00000081585	0	0	0	0	0	0	0
ENSMUSG00000081586	0	0	0	0	0	0	0
ENSMUSG00000081587	0	0	0	0	0	0	0
ENSMUSG00000081588	0	0	0	2	0	1	1
ENSMUSG00000081589	0	0	0	0	0	0	0
ENSMUSG00000081590	0	0	0	0	0	0	0
ENSMUSG00000081591	0	0	0	0	0	0	0
ENSMUSG00000081592	0	0	0	0	0	0	0
ENSMUSG00000081593	0	0	0	5	0	0	0
ENSMUSG00000081594	0	0	0	0	0	0	0
ENSMUSG00000081595	0	0	0	0	0	0	0
ENSMUSG00000081596	0	0	0	0	0	0	0
ENSMUSG00000081597	0	0	0	0	2	3	0
ENSMUSG00000081598	0	0	0	0	0	0	0
ENSMUSG00000081599	0	0	0	0	0	0	1
ENSMUSG00000081600	74	65	70	70	73	104	43
ENSMUSG00000081601	0	0	0	0	0	0	0
ENSMUSG00000081602	0	0	0	0	0	0	0
ENSMUSG00000081603	0	0	0	0	0	0	0
ENSMUSG00000081605	3	3	2	0	3	6	0
ENSMUSG00000081606	0	0	0	0	0	0	0
ENSMUSG00000081607	0	0	1	3	0	1	0
ENSMUSG00000081608	0	0	0	0	1	0	0
ENSMUSG00000081609	0	0	0	0	0	0	0
ENSMUSG00000081610	0	0	0	0	0	0	0
ENSMUSG00000081611	1	0	0	0	0	0	0
ENSMUSG00000081612	0	0	0	0	0	0	0
ENSMUSG00000081613	0	0	0	0	0	0	0
ENSMUSG00000081614	0	0	0	0	0	0	0
ENSMUSG00000081615	0	0	0	0	0	0	0
ENSMUSG00000081616	0	0	0	0	0	0	0
ENSMUSG00000081617	0	0	0	0	0	0	0
ENSMUSG00000081618	0	0	0	0	0	0	0
ENSMUSG00000081619	0	3	2	3	0	1	0
ENSMUSG00000081620	0	0	9	0	0	0	1
ENSMUSG00000081621	0	0	0	0	0	0	0
ENSMUSG00000081622	0	0	1	0	1	0	0
ENSMUSG00000081623	0	0	0	0	0	0	0
ENSMUSG00000081624	0	0	0	0	0	0	0
ENSMUSG00000081625	0	0	0	0	0	0	0
ENSMUSG00000081626	0	0	0	0	0	0	0
ENSMUSG00000081627	0	0	0	0	0	0	0
ENSMUSG00000081628	0	0	0	0	0	0	0
ENSMUSG00000081629	0	0	0	0	0	0	0
ENSMUSG00000081630	0	0	0	0	0	0	0
ENSMUSG00000081631	0	0	0	0	0	0	0
ENSMUSG00000081632	0	0	0	0	0	0	0
ENSMUSG00000081633	0	0	0	1	0	0	0
ENSMUSG00000081635	0	0	0	0	0	0	0
ENSMUSG00000081636	0	0	0	0	0	0	0
ENSMUSG00000081638	0	0	0	0	0	0	0
ENSMUSG00000081639	0	0	0	0	0	0	0
ENSMUSG00000081640	0	0	0	1	0	1	0
ENSMUSG00000081641	0	1	0	0	0	0	0
ENSMUSG00000081642	0	0	0	0	0	1	1
ENSMUSG00000081643	0	0	0	0	0	0	0
ENSMUSG00000081646	0	0	0	0	0	0	0
ENSMUSG00000081647	0	0	0	0	0	0	0
ENSMUSG00000081648	0	3	4	2	5	2	6
ENSMUSG00000081649	0	0	0	0	0	0	0
ENSMUSG00000081651	0	0	1	0	0	0	0
ENSMUSG00000081652	0	0	0	0	0	0	0
ENSMUSG00000081653	0	0	0	0	0	0	0
ENSMUSG00000081654	0	0	0	0	0	0	0
ENSMUSG00000081656	0	0	0	0	0	0	0
ENSMUSG00000081657	0	0	0	0	0	0	0
ENSMUSG00000081658	0	0	0	0	0	0	0
ENSMUSG00000081659	2	0	1	2	4	1	0
ENSMUSG00000081660	1	0	0	0	0	0	1
ENSMUSG00000081661	0	0	0	0	0	0	0
ENSMUSG00000081662	0	0	0	0	0	0	0
ENSMUSG00000081663	0	0	0	0	0	0	0
ENSMUSG00000081664	0	0	0	0	1	0	0
ENSMUSG00000081665	0	7	0	0	0	0	18
ENSMUSG00000081666	0	0	0	0	0	0	0
ENSMUSG00000081667	0	0	0	0	0	0	0
ENSMUSG00000081668	0	0	0	0	0	0	0
ENSMUSG00000081669	0	0	0	0	0	0	0
ENSMUSG00000081670	0	0	0	0	0	0	0
ENSMUSG00000081671	0	0	0	0	0	0	0
ENSMUSG00000081672	0	0	0	0	0	0	0
ENSMUSG00000081673	0	0	0	0	0	0	0
ENSMUSG00000081674	0	0	1	0	0	0	1
ENSMUSG00000081675	0	2	0	0	1	2	0
ENSMUSG00000081676	0	1	0	0	0	0	0
ENSMUSG00000081677	0	0	0	0	0	0	0
ENSMUSG00000081678	0	0	0	0	0	0	0
ENSMUSG00000081679	0	0	2	0	1	0	0
ENSMUSG00000081680	0	0	0	0	0	0	0
ENSMUSG00000081681	0	0	0	0	0	0	0
ENSMUSG00000081683	15	10	11	21	18	28	37
ENSMUSG00000081684	0	0	0	0	0	0	0
ENSMUSG00000081685	0	0	0	1	4	0	0
ENSMUSG00000081686	0	0	0	0	0	0	0
ENSMUSG00000081687	0	0	0	0	0	0	0
ENSMUSG00000081688	0	0	0	0	1	0	0
ENSMUSG00000081689	1	0	0	0	0	0	0
ENSMUSG00000081690	0	0	0	0	0	0	0
ENSMUSG00000081691	0	0	0	0	0	0	0
ENSMUSG00000081692	0	0	0	0	0	0	1
ENSMUSG00000081693	0	0	0	0	0	0	0
ENSMUSG00000081694	0	0	0	0	0	0	0
ENSMUSG00000081695	0	0	0	0	0	0	0
ENSMUSG00000081696	0	0	0	0	0	0	0
ENSMUSG00000081697	0	0	0	0	0	0	0
ENSMUSG00000081698	0	0	0	0	0	0	0
ENSMUSG00000081699	0	0	0	0	0	0	0
ENSMUSG00000081700	0	0	0	0	0	0	0
ENSMUSG00000081701	0	0	0	0	0	0	0
ENSMUSG00000081703	0	0	0	0	0	0	0
ENSMUSG00000081704	0	0	0	0	0	0	0
ENSMUSG00000081705	0	0	0	0	0	0	0
ENSMUSG00000081706	0	0	0	0	0	0	0
ENSMUSG00000081707	0	0	0	0	0	0	1
ENSMUSG00000081709	0	0	0	0	0	0	0
ENSMUSG00000081711	0	5	0	0	1	0	0
ENSMUSG00000081712	2	0	1	1	0	6	1
ENSMUSG00000081713	0	0	0	0	0	0	0
ENSMUSG00000081714	0	0	0	0	0	0	0
ENSMUSG00000081715	0	0	0	0	0	0	2
ENSMUSG00000081716	0	0	0	0	0	0	0
ENSMUSG00000081717	0	0	0	0	0	0	0
ENSMUSG00000081718	0	0	0	0	0	0	0
ENSMUSG00000081719	0	0	0	0	0	0	0
ENSMUSG00000081720	0	2	2	0	5	0	0
ENSMUSG00000081721	9	7	13	8	15	3	21
ENSMUSG00000081722	0	0	1	0	0	0	0
ENSMUSG00000081723	0	1	2	1	1	2	3
ENSMUSG00000081724	7	4	4	6	3	2	10
ENSMUSG00000081728	0	0	0	0	0	0	0
ENSMUSG00000081729	0	0	0	0	0	0	1
ENSMUSG00000081730	0	0	0	0	0	2	0
ENSMUSG00000081731	0	0	0	0	0	0	0
ENSMUSG00000081732	0	0	0	0	0	0	0
ENSMUSG00000081733	0	0	0	0	3	0	0
ENSMUSG00000081734	0	0	0	0	0	0	0
ENSMUSG00000081735	0	0	0	0	0	0	0
ENSMUSG00000081736	0	0	0	0	0	0	0
ENSMUSG00000081737	0	0	0	0	0	0	0
ENSMUSG00000081738	15	2	6	10	7	2	7
ENSMUSG00000081739	2	5	0	0	3	2	4
ENSMUSG00000081740	0	0	0	0	0	0	0
ENSMUSG00000081741	0	0	0	0	0	0	0
